OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
68,2016,DODGE,,Truck,BLK,,Tuesday,N,Metcalfe,Ward 20 - Osgoode,Sector 36,6/14/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"COOPER HILL RD, JOHN QUINN RD",East,5050190.02,Evening,George Darouze,1100,1800,-75.5139532385871,45.261102390559
69,1990,FORD,,Motor Home,BGE,,Tuesday,Y,Osgoode,Ward 20 - Osgoode,Sector 36,6/14/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"BANK ST, KENNEDY RD",East,5050190.01,Morning,George Darouze,200,700,-75.4469332076229,45.1477826604394
70,2018,FORD,F150,Truck,GRY,,Friday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,6/15/2019 5:00:00 AM,6/14/2019 5:00:00 AM,2019,"KINMOUNT PRIV,KINMOUNT PRIV",West,5050160.03,Afternoon,Cathy Curry,800,1700,-75.9237511633723,45.3147385619486
71,2015,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,GRY,,Saturday,Y,Bridlewood - Emerald Meadows,Ward 23 - Kanata South,Sector 13,6/15/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"ELEMENT PRIV, RADIANT PRIV",West,5050161.06,Afternoon,Allan Hubley,1000,1700,-75.8570352216415,45.2721666090274
72,2004,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,RED,4400,Saturday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,6/16/2019 5:00:00 AM,6/15/2019 5:00:00 AM,2019,"WILD SHORE CRES, SHORELINE DR",East,5050126.05,Evening,Steve Desroches,1600,2200,-75.6941702813974,45.2723381564474
73,2015,HYUNDAI,ELANTRA,Automobile,BLK,10000,Friday,N,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,6/16/2019 5:00:00 AM,6/14/2019 5:00:00 AM,2019,"MEADOWLANDS DR, NESS ST",West,5050131.02,Afternoon,Sean Devine,200,1600,-75.7134767600722,45.3617340670581
74,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,WHI,,Saturday,Y,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/16/2019 5:00:00 AM,6/15/2019 5:00:00 AM,2019,"BUCHANAN CRES, HOLLYBROOK CRES N",East,5050120.03,Evening,Tim Tierney,700,2200,-75.6087716321937,45.462490388254
75,2017,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,GRY,,Saturday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/16/2019 5:00:00 AM,6/15/2019 5:00:00 AM,2019,"RIVERSHORE CRES, RIVERSHORE CRES",East,5050120.03,Evening,Tim Tierney,1100,2100,-75.606336635754,45.4620214269824
76,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,BLU,,Thursday,Y,Playfair Park - Lynda Park - Guildwood Estates,Ward 18 - Alta Vista,Sector 34,6/17/2019 5:00:00 AM,6/13/2019 5:00:00 AM,2019,"DUNKIRK CRES E, PLAYFAIR DR E",East,5050007.01,Afternoon,Marty Carr,1900,1400,-75.6459161077617,45.3906501501906
77,,JOHN DEERE/ DEERE AND COMPANY,,Other,LGR,,Monday,Y,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,6/17/2019 5:00:00 AM,6/17/2019 5:00:00 AM,2019,"CARLING AVE, GWYNNE AVE",Central,5050034.00,Evening,Jeff Leiper,200,2100,-75.7176029741645,45.3932874477245
